web-scraper-order,web-scraper-start-url,selector1
"1657196981-702","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Ham"
"1657196981-651","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","22.03. 12:30"
"1657196981-791","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","01.03. 15:00"
"1657196981-272","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-543","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-583","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Liverpool"
"1657196981-249","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-725","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-107","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","West Ham"
"1657196981-293","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(0)"
"1657196981-679","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","16.03. 14:00"
"1657196981-764","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Arsenal"
"1657196981-749","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","05.03. 19:45"
"1657196981-429","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Arsenal"
"1657196981-549","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-551","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-207","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-450","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Man City"
"1657196981-708","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Fulham"
"1657196981-409","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-635","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-248","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","4"
"1657196981-533","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Everton"
"1657196981-146","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-400","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Charlton"
"1657196981-449","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Tottenham"
"1657196981-182","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","04.05. 16:05"
"1657196981-203","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","03.05. 15:00"
"1657196981-470","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Blackburn"
"1657196981-514","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-228","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","1"
"1657196981-548","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","Leeds"
"1657196981-616","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","22.03. 15:00"
"1657196981-810","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","(1)"
"1657196981-172","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","2"
"1657196981-308","https://www.flashscore.co.uk/football/england/premier-league-2002-2003/results/","26.04. 15:00"
