Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,New Zealand
West Indies,New Zealand,West Indies,New Zealand,23 runs,St John's,3/20/1985,ODI # 320,320,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,6 wickets,Port of Spain,3/27/1985,ODI # 324,324,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,130 runs,Albion,4/14/1985,ODI # 326,326,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,10 wickets,Port of Spain,4/17/1985,ODI # 327,327,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,112 runs,Bridgetown,4/23/1985,ODI # 328,328,West Indies,New Zealand
Australia,New Zealand,no result,Australia,,Melbourne,1/9/1986,ODI # 347,347,Australia,New Zealand
India,New Zealand,India,New Zealand,5 wickets,Brisbane,1/11/1986,ODI # 348,348,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,4 wickets,Sydney,1/14/1986,ODI # 350,350,Australia,New Zealand
India,New Zealand,New Zealand,India,3 wickets,Perth,1/18/1986,ODI # 352,352,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,4 wickets,Perth,1/19/1986,ODI # 353,353,Australia,New Zealand
India,New Zealand,New Zealand,India,5 wickets,Melbourne,1/23/1986,ODI # 355,355,Australia,New Zealand
India,New Zealand,India,New Zealand,5 wickets,Adelaide,1/25/1986,ODI # 356,356,Australia,New Zealand
Australia,New Zealand,New Zealand,Australia,206 runs,Adelaide,1/27/1986,ODI # 358,358,Australia,New Zealand
Australia,New Zealand,Australia,New Zealand,99 runs,Sydney,1/29/1986,ODI # 359,359,Australia,New Zealand
India,New Zealand,India,New Zealand,22 runs,Launceston,2/2/1986,ODI # 361,361,Australia,New Zealand
New Zealand,Australia,New Zealand,Australia,30 runs,Dunedin,3/19/1986,ODI # 369,369,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,53 runs,Christchurch,3/22/1986,ODI # 371,371,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,3 wickets,Wellington,3/26/1986,ODI # 372,372,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,44 runs,Auckland,3/29/1986,ODI # 373,373,New Zealand,New Zealand
Sri Lanka,New Zealand,New Zealand,Sri Lanka,6 wickets,Colombo (RPS),4/5/1986,ODI # 378,378,Sri Lanka,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,4 wickets,Colombo (SSC),4/7/1986,ODI # 380,380,Sri Lanka,New Zealand
India,New Zealand,India,New Zealand,3 wickets,Sharjah,4/10/1986,ODI # 381,381,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,10 wickets,Sharjah,4/15/1986,ODI # 384,384,United Arab Emirates,New Zealand
England,New Zealand,New Zealand,England,47 runs,Leeds,7/16/1986,ODI # 388,388,England,New Zealand
England,New Zealand,England,New Zealand,6 wickets,Manchester,7/18/1986,ODI # 389,389,England,New Zealand
New Zealand,West Indies,West Indies,New Zealand,95 runs,Dunedin,3/18/1987,ODI # 435,435,New Zealand,New Zealand
New Zealand,West Indies,West Indies,New Zealand,6 wickets,Auckland,3/21/1987,ODI # 437,437,New Zealand,New Zealand
New Zealand,West Indies,West Indies,New Zealand,10 wickets,Christchurch,3/28/1987,ODI # 441,441,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,3 runs,Hyderabad (Deccan),10/10/1987,ODI # 454,454,India,New Zealand
India,New Zealand,India,New Zealand,16 runs,Bengaluru,10/14/1987,ODI # 458,458,India,New Zealand
