Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,2 wickets,Pallekele,7/15/2015,ODI # 3669,3669,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,135 runs,Colombo (RPS),7/19/2015,ODI # 3670,3670,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),7/22/2015,ODI # 3671,3671,Sri Lanka,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,Pakistan,165 runs,Hambantota,7/26/2015,ODI # 3672,3672,Sri Lanka,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,1 wicket,Colombo (RPS),11/1/2015,ODI # 3701,3701,Sri Lanka,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,8 wickets,Colombo (RPS),11/4/2015,ODI # 3702,3702,Sri Lanka,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,West Indies,19 runs,Pallekele,11/7/2015,ODI # 3704,3704,Sri Lanka,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Christchurch,12/26/2015,ODI # 3714,3714,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,10 wickets,Christchurch,12/28/2015,ODI # 3715,3715,New Zealand,Sri Lanka
New Zealand,Sri Lanka,Sri Lanka,New Zealand,8 wickets,Nelson,12/31/2015,ODI # 3717,3717,New Zealand,Sri Lanka
New Zealand,Sri Lanka,no result,New Zealand,,Nelson,1/2/2016,ODI # 3718,3718,New Zealand,Sri Lanka
New Zealand,Sri Lanka,New Zealand,Sri Lanka,36 runs,Mount Maunganui,1/5/2016,ODI # 3721,3721,New Zealand,Sri Lanka
Ireland,Sri Lanka,Sri Lanka,Ireland,76 runs,Dublin (Malahide),6/16/2016,ODI # 3748,3748,Ireland,Sri Lanka
Ireland,Sri Lanka,Sri Lanka,Ireland,136 runs,Dublin (Malahide),6/18/2016,ODI # 3749,3749,Ireland,Sri Lanka
England,Sri Lanka,tied,England,,Nottingham,6/21/2016,ODI # 3751,3751,England,Sri Lanka
England,Sri Lanka,England,Sri Lanka,10 wickets,Birmingham,6/24/2016,ODI # 3753,3753,England,Sri Lanka
England,Sri Lanka,no result,England,,Bristol,6/26/2016,ODI # 3755,3755,England,Sri Lanka
