Team1,Team2,Winner,Result,Venue,Date,MatchNumber
Seychelles,Swaziland,Seychelles,7 wickets,Rwanda,2021-10-20,T20I # 1328
Rwanda,Lesotho,Rwanda,22 runs,Kigali,2021-10-20,T20I # 1329
Denmark,Germany,Germany,12 runs,Almeria,2021-10-20,T20I # 1330
Ireland,Sri Lanka,Sri Lanka,70 runs,Abu Dhabi,2021-10-20,T20I # 1331
Ghana,Uganda,Uganda,79 runs,Rwanda,2021-10-21,T20I # 1332
Germany,Italy,Italy,1 run,Almeria,2021-10-21,T20I # 1333
Bangladesh,P.N.G.,Bangladesh,84 runs,Al Amerat,2021-10-21,T20I # 1334
Malta,Gibraltar,Malta,61 runs,Marsa,2021-10-21,T20I # 1335
Nigeria,Sierra Leone,Nigeria,69 runs,Lagos,2021-10-21,T20I # 1336
Denmark,Jersey,Jersey,4 wickets,Almeria,2021-10-21,T20I # 1337
Oman,Scotland,Scotland,8 wickets,Al Amerat,2021-10-21,T20I # 1338
Rwanda,Swaziland,Rwanda,7 wickets,Rwanda,2021-10-22,T20I # 1339
Lesotho,Malawi,Malawi,22 runs,Kigali,2021-10-22,T20I # 1340
Gibraltar,Switzerland,Switzerland,9 wickets,Marsa,2021-10-22,T20I # 1341
Ireland,Namibia,Namibia,8 wickets,Sharjah,2021-10-22,T20I # 1342
Rwanda,Malawi,Malawi,24 runs,Rwanda,2021-10-22,T20I # 1343
Seychelles,Uganda,Uganda,95 runs,Kigali,2021-10-22,T20I # 1344
Bulgaria,Switzerland,Switzerland,8 wickets,Marsa,2021-10-22,T20I # 1345
Netherlands,Sri Lanka,Sri Lanka,8 wickets,Sharjah,2021-10-22,T20I # 1346
Bulgaria,Gibraltar,Gibraltar,37 runs,Marsa,2021-10-23,T20I # 1347
Qatar,Bahrain,Bahrain,8 wickets,Doha,2021-10-23,T20I # 1348
Nigeria,Sierra Leone,Nigeria,9 wickets,Lagos,2021-10-23,T20I # 1349
Malta,Switzerland,Switzerland,8 runs,Marsa,2021-10-23,T20I # 1350
Australia,South Africa,Australia,5 wickets,Abu Dhabi,2021-10-23,T20I # 1351
Maldives,Saudi Arabia,Saudi Arabia,7 wickets,Doha,2021-10-23,T20I # 1352
Malta,Bulgaria,Malta,6 wickets,Marsa,2021-10-23,T20I # 1353
England,West Indies,England,6 wickets,Dubai (DSC),2021-10-23,T20I # 1354
Bahrain,Kuwait,Kuwait,6 wickets,Doha,2021-10-24,T20I # 1355
Bulgaria,Gibraltar,Bulgaria,6 wickets,Marsa,2021-10-24,T20I # 1356
Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Sharjah,2021-10-24,T20I # 1357
Qatar,Maldives,Qatar,98 runs,Doha,2021-10-24,T20I # 1358
Malta,Switzerland,Malta,6 runs,Marsa,2021-10-24,T20I # 1359
Nigeria,Sierra Leone,Nigeria,19 runs,Lagos,2021-10-24,T20I # 1360
India,Pakistan,Pakistan,10 wickets,Dubai (DSC),2021-10-24,T20I # 1361
Kuwait,Saudi Arabia,Saudi Arabia,4 wickets,Doha,2021-10-25,T20I # 1362
Malta,Gibraltar,tied,,Marsa,2021-10-25,T20I # 1363
Afghanistan,Scotland,Afghanistan,130 runs,Sharjah,2021-10-25,T20I # 1364
Nigeria,Sierra Leone,Nigeria,36 runs,Lagos,2021-10-26,T20I # 1365
South Africa,West Indies,South Africa,8 wickets,Dubai (DSC),2021-10-26,T20I # 1366
New Zealand,Pakistan,Pakistan,5 wickets,Sharjah,2021-10-26,T20I # 1367
Bahrain,Maldives,Bahrain,7 wickets,Doha,2021-10-27,T20I # 1368
Bangladesh,England,England,8 wickets,Abu Dhabi,2021-10-27,T20I # 1369
Qatar,Saudi Arabia,Qatar,5 wickets,Doha,2021-10-27,T20I # 1370
Namibia,Scotland,Namibia,4 wickets,Abu Dhabi,2021-10-27,T20I # 1371
Kuwait,Maldives,Kuwait,5 wickets,Doha,2021-10-28,T20I # 1372
Australia,Sri Lanka,Australia,7 wickets,Dubai (DSC),2021-10-28,T20I # 1374
Bahrain,Saudi Arabia,Bahrain,18 runs,Doha,2021-10-28,T20I # 1373
Bangladesh,West Indies,West Indies,3 runs,Sharjah,2021-10-29,T20I # 1375
Qatar,Kuwait,Qatar,2 wickets,Doha,2021-10-29,T20I # 1376
Afghanistan,Pakistan,Pakistan,5 wickets,Dubai (DSC),2021-10-29,T20I # 1377
South Africa,Sri Lanka,South Africa,4 wickets,Sharjah,2021-10-30,T20I # 1378
Australia,England,England,8 wickets,Dubai (DSC),2021-10-30,T20I # 1379
Afghanistan,Namibia,Afghanistan,62 runs,Abu Dhabi,2021-10-31,T20I # 1380
India,New Zealand,New Zealand,8 wickets,Dubai (DSC),2021-10-31,T20I # 1381
England,Sri Lanka,England,26 runs,Sharjah,2021-11-01,T20I # 1382
Botswana,Sierra Leone,Botswana,72 runs,Rwanda,2021-11-02,T20I # 1383
Bangladesh,South Africa,South Africa,6 wickets,Abu Dhabi,2021-11-02,T20I # 1384
Mozambique,Tanzania,Tanzania,87 runs,Rwanda,2021-11-02,T20I # 1385
Namibia,Pakistan,Pakistan,45 runs,Abu Dhabi,2021-11-02,T20I # 1386
Cameroon,Mozambique,Mozambique,171 runs,Rwanda,2021-11-03,T20I # 1387
New Zealand,Scotland,New Zealand,16 runs,Dubai (DSC),2021-11-03,T20I # 1388
Sierra Leone,Tanzania,Tanzania,8 wickets,Rwanda,2021-11-03,T20I # 1389
Afghanistan,India,India,66 runs,Abu Dhabi,2021-11-03,T20I # 1390
Australia,Bangladesh,Australia,8 wickets,Dubai (DSC),2021-11-04,T20I # 1391
Sri Lanka,West Indies,Sri Lanka,20 runs,Abu Dhabi,2021-11-04,T20I # 1392
Botswana,Cameroon,Botswana,9 wickets,Rwanda,2021-11-05,T20I # 1393
Namibia,New Zealand,New Zealand,52 runs,Sharjah,2021-11-05,T20I # 1394
Mozambique,Sierra Leone,Sierra Leone,5 wickets,Rwanda,2021-11-05,T20I # 1395
India,Scotland,India,8 wickets,Dubai (DSC),2021-11-05,T20I # 1396
Botswana,Mozambique,Botswana,52 runs,Rwanda,2021-11-06,T20I # 1397
Australia,West Indies,Australia,8 wickets,Abu Dhabi,2021-11-06,T20I # 1398
Cameroon,Tanzania,Tanzania,178 runs,Rwanda,2021-11-06,T20I # 1399
England,South Africa,South Africa,10 runs,Sharjah,2021-11-06,T20I # 1400
Cameroon,Sierra Leone,Sierra Leone,6 wickets,Rwanda,2021-11-07,T20I # 1401
Afghanistan,New Zealand,New Zealand,8 wickets,Abu Dhabi,2021-11-07,T20I # 1402
Botswana,Tanzania,Tanzania,3 runs,Rwanda,2021-11-07,T20I # 1403
Belize,U.S.A.,U.S.A.,10 wickets,Coolidge,2021-11-07,T20I # 1404
Bahamas,Canada,Canada,122 runs,North Sound,2021-11-07,T20I # 1405
Pakistan,Scotland,Pakistan,72 runs,Sharjah,2021-11-07,T20I # 1406
Panama,U.S.A.,U.S.A.,9 wickets,Coolidge,2021-11-07,T20I # 1407
Belize,Canada,Canada,145 runs,Coolidge,2021-11-08,T20I # 1408
Argentina,Bahamas,Bahamas,12 runs,North Sound,2021-11-08,T20I # 1409
India,Namibia,India,9 wickets,Dubai (DSC),2021-11-08,T20I # 1410
Belize,Panama,Belize,12 runs,Coolidge,2021-11-08,T20I # 1411
Bermuda,U.S.A.,U.S.A.,23 runs,North Sound,2021-11-08,T20I # 1412
Bahamas,Bermuda,Bermuda,140 runs,Coolidge,2021-11-10,T20I # 1413
Argentina,Belize,Argentina,59 runs,North Sound,2021-11-10,T20I # 1414
England,New Zealand,New Zealand,5 wickets,Abu Dhabi,2021-11-10,T20I # 1415
Canada,U.S.A.,tied,,Coolidge,2021-11-10,T20I # 1416
Argentina,Panama,Argentina,45 runs,North Sound,2021-11-10,T20I # 1417
Bermuda,Canada,Canada,46 runs,Coolidge,2021-11-11,T20I # 1418
Bahamas,Belize,Bahamas,11 runs,North Sound,2021-11-11,T20I # 1419
Australia,Pakistan,Australia,5 wickets,Dubai (DSC),2021-11-11,T20I # 1420
Bermuda,Panama,Bermuda,86 runs,Coolidge,2021-11-11,T20I # 1421
Argentina,U.S.A.,U.S.A.,8 wickets,North Sound,2021-11-11,T20I # 1422
Bahamas,U.S.A.,U.S.A.,10 wickets,Coolidge,2021-11-13,T20I # 1423
Belize,Bermuda,Bermuda,7 wickets,North Sound,2021-11-13,T20I # 1424
Bahamas,Panama,Panama,26 runs,Coolidge,2021-11-13,T20I # 1425
Argentina,Canada,Canada,9 wickets,North Sound,2021-11-13,T20I # 1426
Canada,Panama,Canada,208 runs,Coolidge,2021-11-14,T20I # 1427
Australia,New Zealand,Australia,8 wickets,Dubai (DSC),2021-11-14,T20I # 1428
Argentina,Bermuda,Bermuda,3 wickets,Coolidge,2021-11-14,T20I # 1429
Nigeria,Tanzania,Tanzania,6 wickets,Rwanda,2021-11-17,T20I # 1430
Kenya,Uganda,Kenya,1 run,Kigali,2021-11-17,T20I # 1431
Nigeria,Uganda,Uganda,12 runs,Rwanda,2021-11-17,T20I # 1432
Kenya,Tanzania,Tanzania,49 runs,Kigali,2021-11-17,T20I # 1433
India,New Zealand,India,5 wickets,Jaipur,2021-11-17,T20I # 1434
Tanzania,Uganda,Uganda,8 wickets,Rwanda,2021-11-18,T20I # 1435
Kenya,Nigeria,Kenya,8 wickets,Kigali,2021-11-18,T20I # 1436
Kenya,Tanzania,Kenya,7 wickets,Rwanda,2021-11-18,T20I # 1437
Nigeria,Uganda,Uganda,8 wickets,Kigali,2021-11-18,T20I # 1438
Bangladesh,Pakistan,Pakistan,4 wickets,Mirpur,2021-11-19,T20I # 1439
India,New Zealand,India,7 wickets,Ranchi,2021-11-19,T20I # 1440
Tanzania,Uganda,Uganda,6 wickets,Rwanda,2021-11-20,T20I # 1441
Kenya,Nigeria,Kenya,60 runs,Kigali,2021-11-20,T20I # 1442
Bangladesh,Pakistan,Pakistan,8 wickets,Mirpur,2021-11-20,T20I # 1443
Kenya,Uganda,Uganda,6 wickets,Rwanda,2021-11-20,T20I # 1444
Nigeria,Tanzania,Tanzania,69 runs,Kigali,2021-11-20,T20I # 1445
India,New Zealand,India,73 runs,Eden Gardens,2021-11-21,T20I # 1446
Bangladesh,Pakistan,Pakistan,5 wickets,Mirpur,2021-11-22,T20I # 1447
Pakistan,West Indies,Pakistan,63 runs,Karachi,2021-12-13,T20I # 1448
Pakistan,West Indies,Pakistan,9 runs,Karachi,2021-12-14,T20I # 1449
Pakistan,West Indies,Pakistan,7 wickets,Karachi,2021-12-16,T20I # 1450
U.S.A.,Ireland,U.S.A.,26 runs,Lauderhill,2021-12-22,T20I # 1451
U.S.A.,Ireland,Ireland,9 runs,Lauderhill,2021-12-23,T20I # 1452
West Indies,England,West Indies,9 wickets,Bridgetown,2022-01-22,T20I # 1453
West Indies,England,England,1 run,Bridgetown,2022-01-23,T20I # 1454
West Indies,England,West Indies,20 runs,Bridgetown,2022-01-26,T20I # 1455
West Indies,England,England,34 runs,Bridgetown,2022-01-29,T20I # 1456
West Indies,England,West Indies,17 runs,Bridgetown,2022-01-30,T20I # 1457
Australia,Sri Lanka,Australia,20 runs,Sydney,2022-02-11,T20I # 1458
Oman,Nepal,Nepal,6 wickets,Al Amerat,2022-02-11,T20I # 1459
Nepal,U.A.E.,U.A.E.,25 runs,Al Amerat,2022-02-12,T20I # 1460
Oman,Ireland,Ireland,9 wickets,Al Amerat,2022-02-12,T20I # 1461
Ireland,U.A.E.,U.A.E.,13 runs,Al Amerat,2022-02-13,T20I # 1462
Australia,Sri Lanka,tied,,Sydney,2022-02-13,T20I # 1463
Oman,U.A.E.,Oman,7 wickets,Al Amerat,2022-02-14,T20I # 1464
Ireland,Nepal,Ireland,16 runs,Al Amerat,2022-02-14,T20I # 1465
Australia,Sri Lanka,Australia,6 wickets,Canberra,2022-02-15,T20I # 1466
India,West Indies,India,6 wickets,Eden Gardens,2022-02-16,T20I # 1467
Canada,Philippines,Canada,118 runs,Al Amerat,2022-02-18,T20I # 1468
Oman,Nepal,Nepal,39 runs,Al Amerat,2022-02-18,T20I # 1469
Australia,Sri Lanka,Australia,6 wickets,Melbourne,2022-02-18,T20I # 1470
Bahrain,Germany,Bahrain,6 wickets,Al Amerat,2022-02-18,T20I # 1471
Ireland,U.A.E.,U.A.E.,18 runs,Al Amerat,2022-02-18,T20I # 1472
India,West Indies,India,8 runs,Eden Gardens,2022-02-18,T20I # 1473
Nepal,Philippines,Nepal,136 runs,Al Amerat,2022-02-19,T20I # 1474
Oman,Canada,Oman,9 wickets,Al Amerat,2022-02-19,T20I # 1475
Bahrain,Ireland,Ireland,21 runs,Al Amerat,2022-02-19,T20I # 1476
Germany,U.A.E.,U.A.E.,24 runs,Al Amerat,2022-02-19,T20I # 1477
Australia,Sri Lanka,Sri Lanka,5 wickets,Melbourne,2022-02-20,T20I # 1478
India,West Indies,India,17 runs,Eden Gardens,2022-02-20,T20I # 1479
Bahrain,U.A.E.,Bahrain,2 runs,Al Amerat,2022-02-21,T20I # 1480
Germany,Ireland,Ireland,7 wickets,Al Amerat,2022-02-21,T20I # 1481
Canada,Nepal,Nepal,8 wickets,Al Amerat,2022-02-21,T20I # 1482
Oman,Philippines,Oman,9 wickets,Al Amerat,2022-02-21,T20I # 1483
Bahrain,Philippines,Bahrain,91 runs,Al Amerat,2022-02-22,T20I # 1484
Canada,Germany,Canada,6 wickets,Al Amerat,2022-02-22,T20I # 1485
Nepal,U.A.E.,U.A.E.,68 runs,Al Amerat,2022-02-22,T20I # 1486
Oman,Ireland,Ireland,56 runs,Al Amerat,2022-02-22,T20I # 1487
Bahrain,Canada,Canada,7 wickets,Al Amerat,2022-02-24,T20I # 1488
Germany,Philippines,Germany,9 wickets,Al Amerat,2022-02-24,T20I # 1489
Ireland,U.A.E.,U.A.E.,7 wickets,Al Amerat,2022-02-24,T20I # 1490
Oman,Nepal,Nepal,9 wickets,Al Amerat,2022-02-24,T20I # 1491
India,Sri Lanka,India,62 runs,Lucknow,2022-02-24,T20I # 1492
India,Sri Lanka,India,7 wickets,Dharamsala,2022-02-26,T20I # 1493
India,Sri Lanka,India,6 wickets,Dharamsala,2022-02-27,T20I # 1494
Bangladesh,Afghanistan,Bangladesh,61 runs,Mirpur,2022-03-03,T20I # 1495
Bangladesh,Afghanistan,Afghanistan,8 wickets,Mirpur,2022-03-05,T20I # 1496
Nepal,P.N.G.,Nepal,15 runs,Kirtipur,2022-03-28,T20I # 1497
Malaysia,P.N.G.,Malaysia,8 runs,Kirtipur,2022-03-29,T20I # 1498
Nepal,Malaysia,Nepal,6 wickets,Kirtipur,2022-03-30,T20I # 1499
Nepal,P.N.G.,Nepal,37 runs,Kirtipur,2022-03-31,T20I # 1500
Malaysia,P.N.G.,P.N.G.,8 wickets,Kirtipur,2022-04-01,T20I # 1501
Nepal,Malaysia,Nepal,85 runs,Kirtipur,2022-04-02,T20I # 1502
Nepal,P.N.G.,Nepal,50 runs,Kirtipur,2022-04-04,T20I # 1503
Pakistan,Australia,Australia,3 wickets,Lahore,2022-04-05,T20I # 1504
Namibia,Uganda,Namibia,8 wickets,Windhoek,2022-04-08,T20I # 1505
Namibia,Uganda,Uganda,7 wickets,Windhoek,2022-04-09,T20I # 1506
Namibia,Uganda,Namibia,52 runs,Windhoek,2022-04-10,T20I # 1507
Cayman Is,Bahamas,Cayman Is,8 wickets,George Town,2022-04-13,T20I # 1508
Cayman Is,Bahamas,Cayman Is,15 runs,George Town,2022-04-14,T20I # 1509
Cayman Is,Bahamas,Cayman Is,7 wickets,George Town,2022-04-16,T20I # 1510
Cayman Is,Bahamas,Cayman Is,65 runs,George Town,2022-04-16,T20I # 1511
Cayman Is,Bahamas,Cayman Is,42 runs,George Town,2022-04-17,T20I # 1512
Guernsey,Norway,Norway,37 runs,Almeria,2022-04-29,T20I # 1513
Spain,Norway,Spain,51 runs,Almeria,2022-04-30,T20I # 1514
Guernsey,Norway,Guernsey,8 wickets,Almeria,2022-04-30,T20I # 1515
Spain,Guernsey,Spain,8 wickets,Almeria,2022-04-30,T20I # 1516
Spain,Guernsey,Guernsey,8 wickets,Almeria,2022-05-01,T20I # 1517
Spain,Norway,Spain,41 runs,Almeria,2022-05-01,T20I # 1518
Denmark,Finland,Finland,3 wickets,Brondby,2022-05-07,T20I # 1519
Denmark,Finland,Denmark,137 runs,Brondby,2022-05-07,T20I # 1520
Denmark,Finland,Denmark,53 runs,Brondby,2022-05-08,T20I # 1521
Malta,Gibraltar,Malta,5 wickets,Marsa,2022-05-10,T20I # 1522
Malta,Hungary,Malta,45 runs,Marsa,2022-05-10,T20I # 1523
Gibraltar,Hungary,Hungary,4 wickets,Marsa,2022-05-10,T20I # 1524
Malta,Romania,Malta,5 wickets,Marsa,2022-05-11,T20I # 1525
Czech Rep.,Gibraltar,Czech Rep.,40 runs,Marsa,2022-05-11,T20I # 1526
Bulgaria,Hungary,Hungary,5 runs,Marsa,2022-05-11,T20I # 1527
Malta,Czech Rep.,Malta,2 runs,Marsa,2022-05-12,T20I # 1528
Bulgaria,Czech Rep.,Czech Rep.,88 runs,Marsa,2022-05-12,T20I # 1529
Hungary,Romania,Hungary,6 wickets,Marsa,2022-05-12,T20I # 1530
Bulgaria,Gibraltar,Gibraltar,21 runs,Marsa,2022-05-13,T20I # 1531
Czech Rep.,Romania,Romania,26 runs,Marsa,2022-05-13,T20I # 1532
Bulgaria,Romania,Romania,8 wickets,Marsa,2022-05-13,T20I # 1533
Czech Rep.,Hungary,Czech Rep.,7 wickets,Marsa,2022-05-14,T20I # 1534
Gibraltar,Romania,Romania,8 wickets,Marsa,2022-05-14,T20I # 1535
Malta,Bulgaria,Malta,6 wickets,Marsa,2022-05-14,T20I # 1536
Bulgaria,Gibraltar,Bulgaria,5 wickets,Marsa,2022-05-15,T20I # 1537
Czech Rep.,Hungary,Czech Rep.,70 runs,Marsa,2022-05-15,T20I # 1538
Malta,Romania,Romania,9 runs,Marsa,2022-05-15,T20I # 1539
Zimbabwe,Namibia,Zimbabwe,7 runs,Bulawayo,2022-05-17,T20I # 1540
Zimbabwe,Namibia,Namibia,8 wickets,Bulawayo,2022-05-19,T20I # 1541
Guernsey,Jersey,Jersey,37 runs,St Peter Port,2022-05-20,T20I # 1542
Guernsey,Jersey,Jersey,60 runs,Castel,2022-05-21,T20I # 1543
Zimbabwe,Namibia,Zimbabwe,8 wickets,Bulawayo,2022-05-21,T20I # 1544
Guernsey,Jersey,Jersey,37 runs,Castel,2022-05-21,T20I # 1545
Zimbabwe,Namibia,Namibia,6 wickets,Bulawayo,2022-05-22,T20I # 1546
Zimbabwe,Namibia,Namibia,32 runs,Bulawayo,2022-05-24,T20I # 1547
Austria,Hungary,Austria,105 runs,Lower Austria,2022-06-04,T20I # 1548
Austria,Hungary,no result,,Lower Austria,2022-06-04,T20I # 1549
Austria,Hungary,Hungary,4 wickets,Lower Austria,2022-06-05,T20I # 1550
Sri Lanka,Australia,Australia,10 wickets,Colombo (RPS),2022-06-07,T20I # 1551
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),2022-06-08,T20I # 1552
Germany,Austria,Germany,54 runs,Krefeld,2022-06-09,T20I # 1553
India,South Africa,South Africa,7 wickets,Delhi,2022-06-09,T20I # 1554
Germany,Sweden,Germany,4 wickets,Krefeld,2022-06-09,T20I # 1555
Germany,Austria,Austria,38 runs,Krefeld,2022-06-10,T20I # 1556
Austria,Sweden,Austria,3 runs,Krefeld,2022-06-10,T20I # 1557
Belgium,Malta,Belgium,111 runs,Gent,2022-06-11,T20I # 1558
Luxembourg,Switzerland,Luxembourg,18 runs,Walferdange,2022-06-11,T20I # 1559
Austria,Sweden,Austria,1 run,Krefeld,2022-06-11,T20I # 1560
Zimbabwe,Afghanistan,Afghanistan,6 wickets,Harare,2022-06-11,T20I # 1561
Belgium,Malta,Belgium,84 runs,Gent,2022-06-11,T20I # 1562
Luxembourg,Switzerland,Switzerland,78 runs,Walferdange,2022-06-11,T20I # 1563
Sri Lanka,Australia,Sri Lanka,4 wickets,Pallekele,2022-06-11,T20I # 1564
Germany,Sweden,Germany,29 runs,Krefeld,2022-06-11,T20I # 1565
Belgium,Malta,Belgium,122 runs,Waterloo,2022-06-12,T20I # 1566
Germany,Austria,Germany,3 wickets,Krefeld,2022-06-12,T20I # 1567
Zimbabwe,Afghanistan,Afghanistan,21 runs,Harare,2022-06-12,T20I # 1568
India,South Africa,South Africa,4 wickets,Cuttack,2022-06-12,T20I # 1569
Zimbabwe,Afghanistan,Afghanistan,35 runs,Harare,2022-06-14,T20I # 1570
India,South Africa,India,48 runs,Visakhapatnam,2022-06-14,T20I # 1571
India,South Africa,India,82 runs,Rajkot,2022-06-17,T20I # 1572
Finland,Estonia,Finland,23 runs,Kerava,2022-06-19,T20I # 1573
Finland,Estonia,Finland,11 runs,Kerava,2022-06-19,T20I # 1574
India,South Africa,no result,,Bengaluru,2022-06-19,T20I # 1575
Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,2022-06-24,T20I # 1576
Bulgaria,Serbia,Bulgaria,5 wickets,Sofia,2022-06-25,T20I # 1577
Bulgaria,Serbia,Bulgaria,40 runs,Sofia,2022-06-25,T20I # 1578
Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,2022-06-26,T20I # 1579
Ireland,India,India,7 wickets,Dublin (Malahide),2022-06-26,T20I # 1580
Belgium,Gibraltar,Belgium,7 wickets,Gent,2022-06-28,T20I # 1581
Malta,Spain,Spain,6 wickets,Waterloo,2022-06-28,T20I # 1582
Singapore,Malaysia,Singapore,4 wickets,Singapore,2022-06-28,T20I # 1583
Denmark,Hungary,Denmark,88 runs,Gent,2022-06-28,T20I # 1584
Israel,Portugal,Portugal,47 runs,Waterloo,2022-06-28,T20I # 1585
Ireland,India,India,4 runs,Dublin (Malahide),2022-06-28,T20I # 1586
Denmark,Gibraltar,Denmark,132 runs,Waterloo,2022-06-29,T20I # 1587
Malta,Portugal,Portugal,11 runs,Gent,2022-06-29,T20I # 1588
Singapore,Malaysia,Malaysia,23 runs,Singapore,2022-06-29,T20I # 1589
Belgium,Hungary,Belgium,2 wickets,Waterloo,2022-06-29,T20I # 1590
Israel,Spain,Spain,7 wickets,Gent,2022-06-29,T20I # 1591
Singapore,Malaysia,Malaysia,5 wickets,Singapore,2022-06-30,T20I # 1592
Gibraltar,Hungary,Gibraltar,4 wickets,Waterloo,2022-07-01,T20I # 1593
Portugal,Spain,Spain,8 wickets,Gent,2022-07-01,T20I # 1594
Belgium,Denmark,Belgium,12 runs,Waterloo,2022-07-01,T20I # 1595
Israel,Malta,Malta,16 runs,Gent,2022-07-01,T20I # 1596
Malaysia,Bhutan,Malaysia,155 runs,Bangi,2022-07-02,T20I # 1597
Belgium,Portugal,Portugal,8 wickets,Waterloo,2022-07-02,T20I # 1598
Singapore,P.N.G.,Singapore,18 runs,Singapore,2022-07-02,T20I # 1599
Denmark,Spain,Denmark,41 runs,Waterloo,2022-07-02,T20I # 1600
West Indies,Bangladesh,no result,,Roseau,2022-07-02,T20I # 1601
Maldives,Thailand,Maldives,7 wickets,Bangi,2022-07-03,T20I # 1602
Malaysia,Bhutan,Malaysia,39 runs,Bangi,2022-07-03,T20I # 1603
Hungary,Israel,Israel,12 runs,Waterloo,2022-07-03,T20I # 1604
Singapore,P.N.G.,P.N.G.,3 wickets,Singapore,2022-07-03,T20I # 1605
Gibraltar,Malta,Malta,7 wickets,Waterloo,2022-07-03,T20I # 1606
West Indies,Bangladesh,West Indies,35 runs,Roseau,2022-07-03,T20I # 1607
Malaysia,Thailand,Malaysia,9 wickets,Bangi,2022-07-04,T20I # 1608
Bhutan,Maldives,Bhutan,6 runs,Bangi,2022-07-04,T20I # 1609
Belgium,Spain,Belgium,5 wickets,Waterloo,2022-07-04,T20I # 1610
Denmark,Portugal,Denmark,9 wickets,Waterloo,2022-07-04,T20I # 1611
Bhutan,Thailand,Bhutan,6 wickets,Bangi,2022-07-06,T20I # 1612
Malaysia,Maldives,Malaysia,8 wickets,Bangi,2022-07-06,T20I # 1613
Bhutan,Maldives,Bhutan,2 runs,Bangi,2022-07-07,T20I # 1614
Malaysia,Thailand,Malaysia,9 wickets,Bangi,2022-07-07,T20I # 1615
England,India,India,50 runs,Southampton,2022-07-07,T20I # 1616
West Indies,Bangladesh,West Indies,5 wickets,Providence,2022-07-07,T20I # 1617
Maldives,Thailand,Maldives,41 runs,Bangi,2022-07-08,T20I # 1618
Austria,Luxembourg,Austria,5 wickets,Vinor,2022-07-08,T20I # 1619
Czech Rep.,Luxembourg,Czech Rep.,5 wickets,Vinor,2022-07-08,T20I # 1620
Serbia,Bulgaria,Serbia,7 wickets,Belgrade,2022-07-08,T20I # 1621
Malaysia,Maldives,Malaysia,94 runs,Bangi,2022-07-09,T20I # 1622
Bhutan,Thailand,Bhutan,28 runs,Bangi,2022-07-09,T20I # 1623
Czech Rep.,Austria,Austria,4 wickets,Vinor,2022-07-09,T20I # 1624
Serbia,Bulgaria,Serbia,8 wickets,Belgrade,2022-07-09,T20I # 1625
Austria,Luxembourg,Austria,35 runs,Vinor,2022-07-09,T20I # 1626
Serbia,Bulgaria,Bulgaria,95 runs,Belgrade,2022-07-09,T20I # 1627
England,India,India,49 runs,Birmingham,2022-07-09,T20I # 1628
Czech Rep.,Luxembourg,Czech Rep.,36 runs,Vinor,2022-07-10,T20I # 1629
Czech Rep.,Austria,Czech Rep.,6 wickets,Vinor,2022-07-10,T20I # 1630
England,India,England,17 runs,Nottingham,2022-07-10,T20I # 1631
Malaysia,Bhutan,Malaysia,9 wickets,Bangi,2022-07-11,T20I # 1632
Jersey,U.S.A.,U.S.A.,8 wickets,Bulawayo,2022-07-11,T20I # 1633
Zimbabwe,Singapore,Zimbabwe,111 runs,Bulawayo,2022-07-11,T20I # 1634
Hong Kong,Uganda,Uganda,2 wickets,Bulawayo,2022-07-11,T20I # 1635
Netherlands,P.N.G.,Netherlands,52 runs,Bulawayo,2022-07-11,T20I # 1636
Singapore,U.S.A.,U.S.A.,132 runs,Bulawayo,2022-07-12,T20I # 1637
Zimbabwe,Jersey,Zimbabwe,23 runs,Bulawayo,2022-07-12,T20I # 1638
Cyprus,Isle of Man,Isle of Man,8 wickets,Kerava,2022-07-12,T20I # 1639
Greece,Italy,Italy,9 wickets,Vantaa,2022-07-12,T20I # 1640
Hong Kong,Netherlands,Netherlands,7 wickets,Bulawayo,2022-07-12,T20I # 1641
P.N.G.,Uganda,P.N.G.,8 wickets,Bulawayo,2022-07-12,T20I # 1642
Finland,Sweden,Finland,12 runs,Vantaa,2022-07-12,T20I # 1643
Romania,Turkey,Romania,51 runs,Kerava,2022-07-12,T20I # 1644
Croatia,Sweden,Sweden,8 wickets,Kerava,2022-07-13,T20I # 1645
Cyprus,Romania,Cyprus,20 runs,Vantaa,2022-07-13,T20I # 1646
Finland,Italy,Italy,5 wickets,Kerava,2022-07-13,T20I # 1647
Isle of Man,Serbia,Isle of Man,68 runs,Vantaa,2022-07-13,T20I # 1648
Hong Kong,P.N.G.,Hong Kong,2 wickets,Bulawayo,2022-07-14,T20I # 1649
Netherlands,Uganda,Netherlands,97 runs,Bulawayo,2022-07-14,T20I # 1650
Jersey,Singapore,Jersey,13 runs,Bulawayo,2022-07-14,T20I # 1651
Zimbabwe,U.S.A.,Zimbabwe,46 runs,Bulawayo,2022-07-14,T20I # 1652
Hong Kong,Singapore,Hong Kong,7 wickets,Bulawayo,2022-07-15,T20I # 1653
Jersey,Uganda,Uganda,5 runs,Bulawayo,2022-07-15,T20I # 1654
Italy,Sweden,Italy,91 runs,Vantaa,2022-07-15,T20I # 1655
Serbia,Turkey,Serbia,7 wickets,Kerava,2022-07-15,T20I # 1656
