Team1,Team2,Winner,Result,Venue,Date,MatchNumber
England,West Indies,West Indies,25 runs,The Oval,2011-09-25,T20I # 208
Bangladesh,West Indies,Bangladesh,3 wickets,Mirpur,2011-10-11,T20I # 209
South Africa,Australia,Australia,5 wickets,Cape Town,2011-10-13,T20I # 210
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,2011-10-15,T20I # 211
South Africa,Australia,South Africa,3 wickets,Johannesburg,2011-10-16,T20I # 212
Zimbabwe,New Zealand,New Zealand,34 runs,Harare,2011-10-17,T20I # 213
India,England,England,6 wickets,Eden Gardens,2011-10-29,T20I # 214
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,2011-11-25,T20I # 215
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,2011-11-29,T20I # 216
Australia,India,Australia,31 runs,Sydney,2012-02-01,T20I # 217
Australia,India,India,8 wickets,Melbourne,2012-02-03,T20I # 218
New Zealand,Zimbabwe,New Zealand,7 wickets,Auckland,2012-02-11,T20I # 219
New Zealand,Zimbabwe,New Zealand,5 wickets,Hamilton,2012-02-14,T20I # 220
New Zealand,South Africa,New Zealand,6 wickets,Wellington,2012-02-17,T20I # 221
New Zealand,South Africa,South Africa,8 wickets,Hamilton,2012-02-19,T20I # 222
New Zealand,South Africa,South Africa,3 runs,Auckland,2012-02-22,T20I # 223
Kenya,Ireland,Ireland,6 wickets,Mombasa,2012-02-22,T20I # 224
Kenya,Ireland,Ireland,8 wickets,Mombasa,2012-02-23,T20I # 225
England,Pakistan,Pakistan,8 runs,Dubai (DSC),2012-02-23,T20I # 226
Kenya,Ireland,Ireland,2 runs,Mombasa,2012-02-24,T20I # 227
England,Pakistan,England,38 runs,Dubai (DSC),2012-02-25,T20I # 228
England,Pakistan,England,5 runs,Abu Dhabi,2012-02-27,T20I # 229
Canada,Netherlands,Netherlands,42 runs,Dubai (DSC),2012-03-13,T20I # 230
Kenya,Scotland,Scotland,14 runs,ICCA Dubai,2012-03-13,T20I # 231
Ireland,Kenya,Ireland,10 wickets,Dubai (DSC),2012-03-14,T20I # 232
Afghanistan,Netherlands,Afghanistan,4 wickets,Dubai (DSC),2012-03-14,T20I # 233
Afghanistan,Canada,Afghanistan,41 runs,ICCA Dubai,2012-03-18,T20I # 234
Ireland,Scotland,Ireland,17 runs,Dubai (DSC),2012-03-18,T20I # 235
Canada,Ireland,Ireland,10 wickets,Dubai (DSC),2012-03-22,T20I # 236
Netherlands,Scotland,Netherlands,3 wickets,ICCA Dubai,2012-03-22,T20I # 237
Ireland,Netherlands,Ireland,7 wickets,Dubai (DSC),2012-03-23,T20I # 238
Canada,Scotland,Scotland,4 wickets,Dubai (DSC),2012-03-23,T20I # 239
Afghanistan,Ireland,Ireland,5 wickets,Dubai (DSC),2012-03-24,T20I # 240
West Indies,Australia,Australia,8 wickets,Gros Islet,2012-03-27,T20I # 241
South Africa,India,South Africa,11 runs,Johannesburg,2012-03-30,T20I # 242
West Indies,Australia,West Indies,14 runs,Bridgetown,2012-03-30,T20I # 243
Sri Lanka,Pakistan,Sri Lanka,37 runs,Hambantota,2012-06-01,T20I # 244
Sri Lanka,Pakistan,Pakistan,23 runs,Hambantota,2012-06-03,T20I # 245
England,West Indies,England,7 wickets,Nottingham,2012-06-24,T20I # 246
New Zealand,West Indies,West Indies,56 runs,Lauderhill,2012-06-30,T20I # 247
