web-scraper-order,web-scraper-start-url,espn2,espn2-href,espn3,espn3-href,BATSMEN,Runs,Balls,Minutes,Fours,Sixes,StrikeRate
"1603231015-5301","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2226","https://stats.espncricinfo.com/ci/engine/match/1050231.html","Rahat Ali","0","3","5","0","0","0.00"
"1603231587-8357","https://stats.espncricinfo.com/ci/content/records/307847.html","2013","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2013;type=year","Test # 2085","https://stats.espncricinfo.com/ci/engine/match/598815.html","","null","null","null","null","null","null"
"1603231053-5484","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2216","https://stats.espncricinfo.com/ci/engine/match/913647.html","","null","null","null","null","null","null"
"1603230990-5162","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2232","https://stats.espncricinfo.com/ci/engine/match/1034809.html","","null","null","null","null","null","null"
"1603230928-4790","https://stats.espncricinfo.com/ci/content/records/307847.html","2017","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2017;type=year","Test # 2248","https://stats.espncricinfo.com/ci/engine/match/1019987.html","","null","null","null","null","null","null"
"1603230568-2629","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2346","https://stats.espncricinfo.com/ci/engine/match/1158064.html","","null","null","null","null","null","null"
"1603230533-2313","https://stats.espncricinfo.com/ci/content/records/307847.html","2019","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2019;type=year","Test # 2360","https://stats.espncricinfo.com/ci/engine/match/1152849.html","","null","null","null","null","null","null"
"1603231292-6736","https://stats.espncricinfo.com/ci/content/records/307847.html","2015","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2015;type=year","Test # 2158","https://stats.espncricinfo.com/ci/engine/match/766931.html","","null","null","null","null","null","null"
"1603230959-4940","https://stats.espncricinfo.com/ci/content/records/307847.html","2016","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2016;type=year","Test # 2241","https://stats.espncricinfo.com/ci/engine/match/1034817.html","JE Root","88","144","187","10","0","61.11"
"1603230643-3190","https://stats.espncricinfo.com/ci/content/records/307847.html","2018","https://stats.espncricinfo.com/ci/engine/records/team/match_results.html?class=1;id=2018;type=year","Test # 2321","https://stats.espncricinfo.com/ci/engine/match/1157753.html","","null","null","null","null","null","null"
